Provider ID,Provider Name ,Address,Governorate,Area,Provider Type,Provider Specialty,Latitude,Longitude,Phone Number
O43,Eye Fashion Optics,Joseph Tito St. New Nozha - Suadi German Hospital,Red Sea,Hurghada,Optics Shop,Optics ,30.13724303,31.39396168,15026    
O43,Eye Fashion Optics,59 Abbas Al-Akkad St  Nasr City,Red Sea,Hurghada,Optics Shop,Optics ,30.04827851,31.33761098,15026    
O43,Eye Fashion Optics,City Stars Mall - 3rd Floor - store N316,Alexandria,North Coast,Optics Shop,Optics ,30.07303285,31.34548211,15026    
O43,Eye Fashion Optics,Concord Plaza Mall - Southern 90th St.,Suez,Al Ain Al Sokhna,Optics Shop,Optics ,30.02513011,31.48261819,15026    
O43,Eye Fashion Optics,16 Al Jazeera St. - Marriot Hotel,Port Said,Port Said,Optics Shop,Optics ,30.05720127,31.22453446,15026    
O43,Eye Fashion Optics,Steigenberger Hotel - Hurghada,Red Sea,Hurghada,Optics Shop,Optics ,31.26942388,32.29875154,15026    
O43,Eye Fashion Optics,Hurghada - Al Daou Resort,Cairo,Maadi,Optics Shop,Optics ,27.19741535,33.82311527,15026    
O43,Eye Fashion Optics,Hurghada City Center - Store N25/26,Cairo,Dokki,Optics Shop,Optics ,27.25631278,33.82881598,15026    
O43,Eye Fashion Optics,Senzo Mall,Cairo,New Cairo,Optics Shop,Optics ,27.0957285,33.82191743,15026    
O43,Eye Fashion Optics,Senzo mall  Hurghada unit 9C,Cairo,Dokki,Optics Shop,Optics ,27.09555113,33.82190576,15026    
O43,Eye Fashion Optics,Shop No. (5) - O Plaza Mall - Dahshur Link ,Cairo,Al Sheikh Zayed,Optics Shop,Optics ,30.02434012,31.21717495,15026    
O43,Eye Fashion Optics,Gameat Al Dowal St. - Zamalek Club Wall - Shop No.4,Cairo,Mohandessein,Optics Shop,Optics ,31.20480358,30.05849605,15026    
O43,Eye Fashion Optics,Mall Of Tanta,Gharbia,Tanta,Optics Shop,Optics ,31.01774295,30.8433755,15026    
R68,Alfa Scan Radiology Center,"Zayed 2000, Arkan mall- El Sheikh Zayed - 6th October- Cairo",Cairo,Mohandessein,Radiology Center,Radiology Center,30.02070036,31.00331451,16171    
R68,Alfa Scan Radiology Center,Plaza Espana mall.Zayed 4 ,Cairo,Heliopolis,Radiology Center,Radiology Center,30.03706413,30.96733826,16171    
R68,Alfa Scan Radiology Center,"124 King Faisal Street, next to Al-Gabry Hospital, above Buffalo Burger, before Mariouteya Axis",Cairo,Maadi,Radiology Center,Radiology Center,29.99590117,31.15258093,16171    
R68,Alfa Scan Radiology Center,73 Merghani Street,Cairo,6th October,Radiology Center,Radiology Center,30.08426576,31.32786651,16171    
R68,Alfa Scan Radiology Center,Borg El Salam- Corniche El Nile,Cairo,Nasr City,Radiology Center,Radiology Center,29.98595141,31.23043678,16171    
R68,Alfa Scan Radiology Center,Adan Street- intersction of Hegaz Street- Safa Medical Tower,Cairo,New Cairo,Radiology Center,Radiology Center,30.05189729,31.1975047,16171    
R68,Alfa Scan Radiology Center,68 Makram Ebeid St. with Abd El Razek El Sanhoury St.,Cairo,Al Sheikh Zayed,Radiology Center,Radiology Center,30.06398028,31.34520406,16171    
R68,Alfa Scan Radiology Center,"90th. St., inside Concord Mall, 2nd. Floor, New Cairo",Cairo,Giza,Radiology Center,Radiology Center,30.02484582,31.48265023,16171    
C1120,American Dental Care,1 Sheikh Ahmed Yassin St. - Betash,Behira,Damanhour,Clinic,Dental,31.11685985,29.79646307,20453301191    
C1120,American Dental Care,378 Gamal Abd EL Nassar - Asafra,Alexandria,Agamy,Clinic,Dental,31.27416562,30.00540663,20453301191    
C1120,American Dental Care,"Ahmed Orabi Street, Al-Kanafany Tower, in front of Shalaby Factory - Damanhour",Alexandria,Al Asafra,Clinic,Dental,31.03849,30.47000724,20453301191    
C1120,American Dental Care,139 Tahrir Street next to Faisal Islamic Bank,Cairo,Dokki,Clinic,Dental,30.03961386,31.21877322,201226747777    
O18,Baraka Optics,Carrefour City Center Gate(4) - 1st Alexandria Cairo Desert Road -,Cairo,Shoubra,Optics Shop,Optics ,31.16659557,29.93333138,201283066617    
O18,Baraka Optics,"Dandy Mall , Alexandria Desert Road no. (34)",Cairo,6th October,Optics Shop,Optics ,29.97639862,30.94800917,20235393537    
O18,Baraka Optics,"Mall of Arabia , Jouhayna Square , 6 th of oct. no . (191G)",Cairo,6th October,Optics Shop,Optics ,29.97124548,31.01952289,201000457951    
O18,Baraka Optics,Mall Of Egypt - Al Wahat Road In Front Of Media Production City Unit G041,Sinai,Sharm Al Sheikh,Optics Shop,Optics ,29.97124548,31.01943706,201283066617    
O18,Baraka Optics,"Galleria 40, Raya Building no. (33) B1 82",Cairo,Zamalek,Optics Shop,Optics ,30.05669607,31.00126135,201283066617    
O18,Baraka Optics,"Hub Mall-West-Town, Sodic",Cairo,Dokki,Optics Shop,Optics ,30.08395323,30.94630365,201283066617    
O18,Baraka Optics,38 Nady Al Seid st. next to McDonald's,Cairo,Giza,Optics Shop,Optics ,30.04260973,31.20059436,201283066617    
O18,Baraka Optics,"Beymen , Four Seasons , Nile Plaza Hotel no. (B)",Cairo,6th October,Optics Shop,Optics ,30.03638478,31.22944608,201283066617    
O18,Baraka Optics,"First Mall , Four Seasons , Mourad st. no. (22,23)",Cairo,Al Sheikh Zayed,Optics Shop,Optics ,30.02436044,31.21721701,201283066617    
O18,Baraka Optics,14 Wadi Al Nile st.,Cairo,Zamalek,Optics Shop,Optics ,30.05614385,31.20108875,201283066617    
O18,Baraka Optics,"Nile City Mall , Nile Towers no. (10)",Cairo,Mohandessein,Optics Shop,Optics ,30.07315272,31.22773848,201283066617    
O18,Baraka Optics,"159 26th of July st. , Zamalek",Cairo,Garden City,Optics Shop,Optics ,30.05957201,31.22369305,201283066617    
O18,Baraka Optics,Gezira Sporting Club,Cairo,Al Sheikh Zayed,Optics Shop,Optics ,30.05316101,31.22358781,201283066617    
O18,Baraka Optics,Mercatto Entertainment Center Sharm Al Sheikh,Alexandria,Desert Road,Optics Shop,Optics ,27.86326141,34.31171116,201283066617    
C313,Dr. Ezzat Yousef (dental care center),59 ElZahraa st- Dokki,Cairo,Dokki,Clinic,Dental,30.04330649,31.19672205,20233384064    
C313,Dr. Ezzat Yousef (dental care center),17 elmontaza street,Cairo,Maadi,Clinic,Dental,30.1095806,31.33889414,20233384064    
C313,Dr. Ezzat Yousef (dental care center),intersection of street no. 219 with street no. 206- building no. 9- Degla,Cairo,Heliopolis,Clinic,Dental,29.96007668,31.27577941,20233384064    
O64,Rayan Eye Wear,55sh main Batash next to The Ahli Bank ,Alexandria,Janakless,Optics Shop,Optics ,31.12703814,29.78682984,2034276611    
O64,Rayan Eye Wear,Alex City Mall (Carrefour Ajami) second round in front of Active Abu Ala ,Alexandria,Mostafa Kamel,Optics Shop,Optics ,31.1173727,29.76221961,2034276611    
O64,Rayan Eye Wear,"Inside The Hospital of Mbara Al-Asafra east of the ninth floor, the department of remed and ophthalm",Alexandria,Roushdy,Optics Shop,Optics ,31.2834469,30.01175604,2034276611    
O64,Rayan Eye Wear,Al-Asafra Branch: 276 Gamal Abdel Nasser Al-Asafra Road in front of the Bride of Damascus ,Alexandria,Saba Basha,Optics Shop,Optics ,31.27347171,30.00514228,2034276611    
O64,Rayan Eye Wear,Swords Branch: Burj al-Ammar - Jamila Bouhrid - next to the village of Abdul Wahab for grills ,Alexandria,Smoha,Optics Shop,Optics ,31.24087787,29.99048069,2034276611    
O64,Rayan Eye Wear,57sh pilot Ahmed Saud Bockley next to Ibrahim Nada Hospital ,Alexandria,San Stefano,Optics Shop,Optics ,31.22956068,29.95989512,2034276611    
O64,Rayan Eye Wear,55th Main Batash next to The Ahli Bank 11sh Mahmoud Hassan Fahmy Ibrahimih next to Fathallah Riviera,Alexandria,Smoha,Optics Shop,Optics ,31.20885038,29.93193275,2034276611    
O64,Rayan Eye Wear,Ibrahimia Branch: 84 Omar Lutfy Street - Ibrahimia Tram Station - Next to Active,Alexandria,Agamy,Optics Shop,Optics ,31.21477276,29.92637091,2034276611    
O64,Rayan Eye Wear,"Murtada St., from Abu Qir Street, next to Al-Tibi Pharmacy",Alexandria,Ibrahemia,Optics Shop,Optics ,31.24246029,29.96875497,2034276611    
O64,Rayan Eye Wear,272 Gamal Abdel Nasser Miami In front of Shahd Halawani Shahd Al-Queen ,Alexandria,Sidi Beshr,Optics Shop,Optics ,31.26418397,29.99601638,2034276611    
O64,Rayan Eye Wear,Eskandar Ebrahim St. infront of KFC,Alexandria,Raml Station,Optics Shop,Optics ,31.26631807,29.99704444,2034276611    
O64,Rayan Eye Wear,Mostafa Kamel Branch: In front of the Medical City Hospital,Alexandria,Sidi Gaber,Optics Shop,Optics ,31.20778519,29.908053,2034276611    
O64,Rayan Eye Wear,Ramel Station Branch:4 Sultan Hussein St. Branched from Safia Zaghloul Al-Dural Street ,Alexandria,Al Siof,Optics Shop,Optics ,31.20063437,29.90376054,2034276611    
O64,Rayan Eye Wear,Rushdie Branch: Ahmed Shawky St. - Al-Mimari Towers - next to Damas Water Projects,Alexandria,Al Asafra,Optics Shop,Optics ,31.22983931,29.95211393,2034276611    
O64,Rayan Eye Wear,Saba Pasha Branch: Ibrahim Al-Halabi St. - M. Abd Al-Salam Arif St. - in front of Ibrahim Obaid Hosp,Alexandria,Miami,Optics Shop,Optics ,31.2377234,29.95813865,2034276611    
O64,Rayan Eye Wear,San Stefano Branch: Mall of San Estefano - First Round - Seaside - In front of the National Bank ,Alexandria,Bolekly,Optics Shop,Optics ,31.24471529,29.96631984,2034276611    
O64,Rayan Eye Wear,Jalal Hammad Street branching from Khalil Hamadeh in front of a mosque east of the city behind the C,Alexandria,Miami,Optics Shop,Optics ,31.26342864,29.99199814,2034276611    
O64,Rayan Eye Wear,"Wingate Branch: Tower St., from Wingate St. - in front of Al-Ahly Hospital",Alexandria,Al Asafra,Optics Shop,Optics ,31.20401867,29.91446336,2034276611    
O64,Rayan Eye Wear,"The beginning of Al-Zawaida Street, in front of the gas station",Alexandria,Ibrahemia,Optics Shop,Optics ,31.17671808,29.91154507,2034276611    
O64,Rayan Eye Wear,Victor Emanuel - Judges Building - infront of Smouha Club,Alexandria,Smoha,Optics Shop,Optics ,31.21627478,29.95130561,2034276611    
O64,Rayan Eye Wear,Smouha Cooperatives Branch: 7 Smouha Cooperatives in front of Jad Restaurant in Jawor Zahran Mall ,Alexandria,Smoha,Optics Shop,Optics ,31.21181989,29.94796849,2034276611    
O64,Rayan Eye Wear,New Samouha Branch: Al-Mahmoudiya Canal - Al-Shatta Buildings Afl Eye Center ,Alexandria,Agamy,Optics Shop,Optics ,31.20981581,29.95795409,2034276611    
O28,C & Co. Optics,Mall of Arabia - Juhayna Square,Cairo,Dokki,Optics Shop,Optics ,29.97124548,31.01952289,201027359997    
O28,C & Co. Optics,Mall of Egypt - Oasis Road,Cairo,New Cairo,Optics Shop,Optics ,29.971199,31.01946925,201027359997    
O28,C & Co. Optics,Shooting Club Shop 5 next to the swimming pools,Cairo,6th October,Optics Shop,Optics ,30.04289449,31.20200845,201027359997    
O28,C & Co. Optics,7 Aboul Houl Street - El Korba,Cairo,Nasr City,Optics Shop,Optics ,30.0908741,31.32446925,201027359997    
O28,C & Co. Optics,Sun City Mall - Sheraton Residences,Cairo,Dokki,Optics Shop,Optics ,30.10370649,31.38716008,201027359997    
O28,C & Co. Optics,Al Shams Club Gate 1 - Abdel Hamid Badawi Street,Cairo,New Cairo,Optics Shop,Optics ,30.1191624,31.34961168,201027359997    
O28,C & Co. Optics,Heliopolis Club - Al Merghani Street,Cairo,Heliopolis,Optics Shop,Optics ,30.08850114,31.31648272,20226906368    
O28,C & Co. Optics,City Center Carrefour Maadi,Cairo,Heliopolis,Optics Shop,Optics ,29.98274646,31.31624039,201027359997    
O28,C & Co. Optics,8 Lebanon Street,Cairo,New Cairo,Optics Shop,Optics ,30.06008102,31.19742395,201027359997    
O28,C & Co. Optics,Genena Mall - Al Batrawi Street - 3rd Floor,Cairo,Nasr City,Optics Shop,Optics ,30.06113869,31.33213646,201000458421    
O28,C & Co. Optics,City Stars Mall The first floor in front of Al-Shorouk Bookstore,Cairo,Nasr City,Optics Shop,Optics ,30.07305141,31.34552503,20224802117    
O28,C & Co. Optics,City Stars Mall - 1st Floor - Shop 117,Cairo,Mohandessein,Optics Shop,Optics ,30.0731,31.346061,201027359997    
O28,C & Co. Optics,Porto Cairo Mall - Ring Road,Cairo,6th October,Optics Shop,Optics ,30.06652474,31.42262797,201027359997    
O28,C & Co. Optics,Point Ninety Mall - in front of the American University,Cairo,Maadi,Optics Shop,Optics ,30.0204787,31.49513499,201027359997    
O28,C & Co. Optics,Cairo Festival Mall - In Front Of Home Center,Cairo,Heliopolis,Optics Shop,Optics ,30.02940108,31.40750893,201027359997    
M240,Seif Pharmacies,Alexandria Desert Road- Master Rest ,Cairo,Down Town,Pharmacy,Pharmacy,29.99897492,31.1166515,19199    
M240,Seif Pharmacies,99 Abdel Salam Aref Street - next to Teram Gelem,Cairo,Nasr City,Pharmacy,Pharmacy,31.23979328,29.96049819,19199    
M240,Seif Pharmacies,Porto Marina 3,Cairo,Nasr City,Pharmacy,Pharmacy,30.82366961,28.99881092,19199    
M240,Seif Pharmacies,Golf Porto Marina,Cairo,Nasr City,Pharmacy,Pharmacy,30.84262145,28.92761474,19199    
M240,Seif Pharmacies,Marina 2,Cairo,Obour City,Pharmacy,Pharmacy,30.84512042,28.92647233,19199    
M240,Seif Pharmacies,Marakia - Commercial Market,Cairo,Nasr City,Pharmacy,Pharmacy,30.93250018,29.46942746,19199    
M240,Seif Pharmacies,Nabi Daniel Street,Cairo,Heliopolis,Pharmacy,Pharmacy,31.19814206,29.90012725,19199    
M240,Seif Pharmacies,Syria : Gomhoreya Street,Cairo,Heliopolis,Pharmacy,Pharmacy,31.22452394,29.93665362,19199    
M240,Seif Pharmacies,Al Moltaqa Trading Center- El Shaheed Mahmoud Shaker ,Cairo,Heliopolis,Pharmacy,Pharmacy,31.2284771,29.94991909,19199    
M240,Seif Pharmacies,Mogawra 6 - Sednawy street - No. 166,Cairo,Down Town,Pharmacy,Pharmacy,30.29079778,31.74325205,19199    
M240,Seif Pharmacies,City Star Mall- 11th District,Alexandria,North Coast,Pharmacy,Pharmacy,29.95879301,30.91801469,19199    
M240,Seif Pharmacies,Dolphon Land Mall - ground floor,Alexandria,North Coast,Pharmacy,Pharmacy,29.97779161,30.9555658,19199    
M240,Seif Pharmacies,Mady Boynt Mall besides Mitro Market,Alexandria,Desert Road,Pharmacy,Pharmacy,30.03121819,31.00048885,19199    
M240,Seif Pharmacies,Tahreer Square- Strand Building- Bab el Louk,Alexandria,Roushdy,Pharmacy,Pharmacy,30.04448293,31.24243922,19199    
M240,Seif Pharmacies,44 Kalaa Street - El Helmeya EL Gededa,Alexandria,Gleem,Pharmacy,Pharmacy,30.04030695,31.25502893,19199    
M240,Seif Pharmacies,76 Kasr El Eini Street,Cairo,Down Town,Pharmacy,Pharmacy,30.03712485,31.23404689,19199    
M240,Seif Pharmacies,417 El Haram Street- Wemby Building- Next to Pizza Hut,Alexandria,North Coast,Pharmacy,Pharmacy,30.00730245,31.19636599,19199    
M240,Seif Pharmacies,48 Haram St. infront of Mena Palace Hotel,Suez,Al Ain Al Sokhna,Pharmacy,Pharmacy,29.98949249,31.14777779,19199    
M240,Seif Pharmacies,120 othman ibn affan street,Alexandria,Smoha,Pharmacy,Pharmacy,30.10430198,31.34907582,19199    
M240,Seif Pharmacies,73 El Marghani Street,Alexandria,Raml Station,Pharmacy,Pharmacy,30.08435345,31.32787227,19199    
M240,Seif Pharmacies,5 Abdel Hameed Badawi Street- Infront of El Shams Club Gate 2,Cairo,6th October,Pharmacy,Pharmacy,30.11526867,31.34446587,19199    
M240,Seif Pharmacies,55 Rayel Street - next to Carrefour,Cairo,Al Sheikh Zayed,Pharmacy,Pharmacy,29.85300676,31.3252241,19199    
M240,Seif Pharmacies,9 Mahata Square Street,Cairo,10th of Ramadan,Pharmacy,Pharmacy,29.96019056,31.25983843,19199    
M240,Seif Pharmacies,Ryhana residence Mall Besides Kher Zman,Cairo,New Cairo,Pharmacy,Pharmacy,29.96147266,31.28963339,19199    
M240,Seif Pharmacies,34 A- Manial El Rowda,Cairo,New Cairo,Pharmacy,Pharmacy,30.01573396,31.22331537,19199    
M240,Seif Pharmacies,"30 elbatal ahmed abd el aziz st,",Cairo,Maadi,Pharmacy,Pharmacy,30.06229792,31.21210648,19199    
M240,Seif Pharmacies,22 Deglaa Street,Cairo,Maadi,Pharmacy,Pharmacy,30.04953484,31.19644762,19199    
M240,Seif Pharmacies,272 El Sudan Street,Cairo,Manial,Pharmacy,Pharmacy,30.04987546,31.19196088,19199    
M240,Seif Pharmacies,6th Abou El Mahasen El Shazly Street,Alexandria,North Coast,Pharmacy,Pharmacy,30.05575222,31.2054369,19199    
M240,Seif Pharmacies,127 hassan maamon street infront of alahly club,Cairo,Mohandessein,Pharmacy,Pharmacy,30.06670104,31.3572953,19199    
M240,Seif Pharmacies,1 Makram Ebeid Street- Intersecting with El Nasr Street,Cairo,Mohandessein,Pharmacy,Pharmacy,30.06907763,31.34452239,19199    
M240,Seif Pharmacies,42 El Batrawy Street - next to the Genena Mall,Cairo,Mohandessein,Pharmacy,Pharmacy,30.0622321,31.33614669,19199    
M240,Seif Pharmacies,50 Abu El Ataheya Street - next to Wonder Land,Cairo,Haram,Pharmacy,Pharmacy,30.04704261,31.3398125,19199    
M240,Seif Pharmacies,Omar Ibn El Khattab Street- City Stars Mall,Cairo,Shoubra,Pharmacy,Pharmacy,30.07419113,31.34762391,19199    
M240,Seif Pharmacies,Youth Housing,Cairo,Faisel,Pharmacy,Pharmacy,30.05512443,31.4474851,19199    
M240,Seif Pharmacies,Seven Stars Mall- Behind el Hamd Mosque- Fifth Avenue,Cairo,Faisel,Pharmacy,Pharmacy,30.00442221,31.42465139,19199    
M240,Seif Pharmacies,concord mall,Cairo,Sherouk City,Pharmacy,Pharmacy,30.02500131,31.48279275,19199    
M240,Seif Pharmacies,Golf City Mall,Cairo,Obour City,Pharmacy,Pharmacy,30.17729719,31.47560359,19199    
M240,Seif Pharmacies,4 Kadry Street,Cairo,Nasr City,Pharmacy,Pharmacy,30.03313018,31.24585927,19199    
M240,Seif Pharmacies,City Plaza mall besides Elshrouk acadamy,Cairo,Helwan,Pharmacy,Pharmacy,30.11557299,31.60696963,19199    
M240,Seif Pharmacies,41 Shoubra Street,Cairo,Maadi,Pharmacy,Pharmacy,30.06610745,31.24490082,19199    
M240,Seif Pharmacies,2 tahreer street- soror square,Cairo,Maadi,Pharmacy,Pharmacy,31.41203076,31.81207356,19199    
M240,Seif Pharmacies,Ocean Blue Village - 92 Kilometer - El Zafarana Road,Cairo,Nasr City,Pharmacy,Pharmacy,29.36384587,32.57408312,19199    
M238,Ezaby Pharmacy,"1 Ahmed Tayseer Street, Girls College",Cairo,Heliopolis,Pharmacy,Pharmacy,30.08380493,31.32826866,19600    
M238,Ezaby Pharmacy,"132 Nozha Street, Triumph",Cairo,Heliopolis,Pharmacy,Pharmacy,30.10142211,31.34292735,19600    
M238,Ezaby Pharmacy,"Shooting Club Branch, Gate 4, Dokki",Cairo,Dokki,Pharmacy,Pharmacy,30.04551441,31.20180808,19600    
M238,Ezaby Pharmacy,22 Mossadak Street,Cairo,Dokki,Pharmacy,Pharmacy,30.04007663,31.2087389,19600    
M238,Ezaby Pharmacy,Mall 2,Cairo,Rehab City,Pharmacy,Pharmacy,30.06161746,31.48262077,19600    
M238,Ezaby Pharmacy,"Shop No. 51 and 52 in Al-Rehab City, the commercial market, the home services area",Cairo,Rehab City,Pharmacy,Pharmacy,30.0571865,31.49189161,19600    
M238,Ezaby Pharmacy,46 Bahjat Ali Street,Cairo,Zamalek,Pharmacy,Pharmacy,30.07136893,31.22160362,19600    
M238,Ezaby Pharmacy,"17C, Central Spine, City Mall",Cairo,6th October,Pharmacy,Pharmacy,29.97263936,30.93926813,19600    
M238,Ezaby Pharmacy,"Plot 238, 7th District, behind 6th of October University",Cairo,6th October,Pharmacy,Pharmacy,29.97757166,30.94635973,19600    
M238,Ezaby Pharmacy,362 Faisal Street,Cairo,Faisel,Pharmacy,Pharmacy,30.00796014,31.18480902,19600    
M238,Ezaby Pharmacy,"13 Ali Sedqi Street, from Abbasiya Square",Cairo,Abbaseya,Pharmacy,Pharmacy,30.07180964,31.284179,19600    
M238,Ezaby Pharmacy,"99 Al-Abbasiya Street, next to Al-Waili Department",Cairo,Abbaseya,Pharmacy,Pharmacy,30.06802358,31.27971437,19600    
M238,Ezaby Pharmacy,"Future Mall, Third Settlement, service area",Cairo,New Cairo,Pharmacy,Pharmacy,29.98241457,31.42599675,19600    
M238,Ezaby Pharmacy,"Shop 9, ground floor, Silver Stars Mall, Fifth Settlement",Cairo,New Cairo,Pharmacy,Pharmacy,30.00331214,31.42126417,19600    
M238,Ezaby Pharmacy,"Property No. 18, Fourth Neighborhood, First District, Third Settlement",Cairo,New Cairo,Pharmacy,Pharmacy,29.97974826,31.44512985,19600    
M238,Ezaby Pharmacy,23 Freedom Square,Cairo,Maadi,Pharmacy,Pharmacy,29.96133441,31.25421554,19600    
M238,Ezaby Pharmacy,"98 Street 9, Block 6018, next to Al-Tawheed and Al-Nour",Cairo,Mokattam,Pharmacy,Pharmacy,30.01348016,31.29630067,19600    
M238,Ezaby Pharmacy,123 Abdul Aziz Al Saud Street,Cairo,Manial,Pharmacy,Pharmacy,30.02596784,31.22380007,19600    
M238,Ezaby Pharmacy,11 Syria Street,Cairo,Mohandessein,Pharmacy,Pharmacy,30.05329955,31.19954988,19600    
M238,Ezaby Pharmacy,195 Haram Street,Cairo,Haram,Pharmacy,Pharmacy,29.99813679,31.16331211,19600    
M238,Ezaby Pharmacy,"Crown Prince Street, Saraya Mall",Cairo,Hadayek Al Kobba,Pharmacy,Pharmacy,30.08739486,31.28383354,19600    
M238,Ezaby Pharmacy,156 Shubra Street,Cairo,Shoubra,Pharmacy,Pharmacy,30.08900267,31.24538626,19600    
M238,Ezaby Pharmacy,"El Tebba Square, 10th District, intersection of Mostafa El Nahhas Street and Mohamed Metwally El Shaaray",Cairo,Nasr City,Pharmacy,Pharmacy,30.05818529,31.3803535,19600    
M238,Ezaby Pharmacy,"8 Saudi Company Buildings, Al Nozha Street",Cairo,Nasr City,Pharmacy,Pharmacy,30.07493098,31.33959745,19600    
M238,Ezaby Pharmacy,42 Mustafa El Nahhas Street,Cairo,Nasr City,Pharmacy,Pharmacy,30.0548539,31.34413202,19600    
M238,Ezaby Pharmacy,"1Sibaq Street, Maryland, the Rightly Guided Caliphs",Cairo,Heliopolis,Pharmacy,Pharmacy,30.10125651,31.32400042,19600    
M238,Ezaby Pharmacy,"Terminal 1, Terminal 1, Cairo International Airport",Cairo,Heliopolis,Pharmacy,Pharmacy,30.12813702,31.40379089,19600    
M238,Ezaby Pharmacy,"36 Mohamed Kamel Hussein Street, New Nozha",Cairo,Heliopolis,Pharmacy,Pharmacy,30.12303073,31.36774799,19600    
M238,Ezaby Pharmacy,19 Ibrahim Al-Korba Street,Cairo,Heliopolis,Pharmacy,Pharmacy,30.09338073,31.32259201,19600    
M238,Ezaby Pharmacy,"9 El Qobba Street, Roxy",Cairo,Heliopolis,Pharmacy,Pharmacy,30.09459131,31.31168402,19600    
M238,Ezaby Pharmacy,"69 Al-Nasr Street, Sheraton Residences",Cairo,Heliopolis,Pharmacy,Pharmacy,30.10527585,31.37249148,19600    
M238,Ezaby Pharmacy,169 Hegaz Street,Cairo,Heliopolis,Pharmacy,Pharmacy,30.11228263,31.34748609,19600    
M238,Ezaby Pharmacy,365 Al Haram Street - corner of Abdel Khaleq Azouz,Cairo,Haram,Pharmacy,Pharmacy,30.00549586,31.19351249,19600    
M238,Ezaby Pharmacy,"1Talaat Harb Square, Shop No. 2",Cairo,Down Town,Pharmacy,Pharmacy,30.04472285,31.2365385,19600    
M238,Ezaby Pharmacy,"24 Hoda Shaarawy Street, in front of the Chamber of Commerce, Al-Bustan Mall, Al-Falaki Square",Cairo,Down Town,Pharmacy,Pharmacy,30.04568113,31.2384593,19600    
